Date,DJI,SP500,CAC40,NYSE,NASDAQ,FTSE,N225,SSE,SZ,SH,HSI
2016-06-16,17733.099609375,2077.989990234375,4153.009765625,10322.83984375,4844.919921875,5950.5,15434.1396484375,2872.81689453125,10115.0068359375,3007.0,20038.419921875
2016-06-17,17675.16015625,2071.219970703125,4193.830078125,10347.9404296875,4800.33984375,6021.10009765625,15599.66015625,2885.10498046875,10182.416015625,3019.89990234375,20169.98046875
2016-06-20,17804.869140625,2083.25,4340.759765625,10450.0302734375,4837.2099609375,6204.0,15965.2998046875,2888.80908203125,10221.7353515625,3023.840087890625,20510.19921875
2016-06-21,17829.73046875,2088.89990234375,4367.240234375,10490.7802734375,4843.759765625,6226.60009765625,16169.1103515625,2878.55810546875,10131.7470703125,3013.080078125,20668.439453125
2016-06-22,17780.830078125,2085.449951171875,4380.02978515625,10473.0595703125,4833.31982421875,6261.2001953125,16065.7197265625,2905.550048828125,10297.865234375,3041.360107421875,20795.119140625
2016-06-23,18011.0703125,2113.320068359375,4465.89990234375,10641.169921875,4910.0400390625,6338.10009765625,16238.349609375,2891.9599609375,10255.1552734375,3027.080078125,20868.33984375
2016-06-24,17400.75,2037.4100341796875,4106.72998046875,10183.509765625,4707.97998046875,6138.7001953125,14952.01953125,2854.285888671875,10147.5859375,2987.580078125,20259.130859375
2016-06-27,17140.240234375,2000.5400390625,4030.300048828125,9973.5400390625,4594.43994140625,5982.2001953125,15309.2099609375,2895.702880859375,10377.4541015625,3030.97998046875,20227.30078125
2016-06-28,17409.720703125,2036.0899658203125,4088.85009765625,10161.16015625,4691.8701171875,6140.39990234375,15323.1396484375,2912.556884765625,10463.3330078125,3048.6201171875,20172.4609375
2016-06-29,17694.6796875,2070.77001953125,4195.31982421875,10350.5302734375,4779.25,6360.10009765625,15566.830078125,2931.592041015625,10460.8525390625,3068.580078125,20436.119140625
2016-06-30,17929.990234375,2098.860107421875,4237.47998046875,10489.759765625,4842.669921875,6504.2998046875,15575.919921875,2929.60595703125,10489.873046875,3066.5,20794.369140625
2016-07-01,17949.369140625,2102.949951171875,4273.9599609375,10515.759765625,4862.56982421875,6577.7998046875,15682.48046875,2932.47607421875,10458.3125,3069.5,
2016-07-04,,,4234.85986328125,,,6522.2998046875,15775.7998046875,2988.60400390625,10609.7412109375,3128.330078125,21059.19921875
2016-07-05,17840.619140625,2088.550048828125,4163.419921875,10409.5400390625,4822.89990234375,6545.39990234375,15669.330078125,3006.39208984375,10602.650390625,3147.0,20750.720703125
2016-07-06,17918.619140625,2099.72998046875,4085.300048828125,10441.580078125,4859.16015625,6463.60009765625,15378.990234375,3017.2919921875,10641.53125,3158.429931640625,20495.2890625
2016-07-07,17895.880859375,2097.89990234375,4117.85009765625,10413.9697265625,4876.81005859375,6533.7998046875,15276.240234375,3016.846923828125,10620.4609375,3158.02001953125,20706.919921875
2016-07-08,18146.740234375,2129.89990234375,4190.68017578125,10571.7802734375,4956.759765625,6590.60009765625,15106.98046875,2988.093994140625,10611.6806640625,3127.860107421875,20564.169921875
